web-scraper-order,web-scraper-start-url,Name,Address
"1553474434-176","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI 290-292 Nguyễn Trãi","Số 290-292 đường Nguyễn Trãi, phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
"1553474434-827","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ Tu Hoàng","Số 15 ngõ 35 Tu Hoàng, phường Phương Canh, quận Nam Từ Liêm, Hà Nội"
"1553474434-192","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI CT7K Parkview Dương Nội","tầng 1 thuộc Toà K, Chung cư CT7, Tổ hợp Chung cư cao tầng NCG Residential, Quận Hà Đông, thành phố Hà Nội"
"1553474434-431","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ CC Orchard Garden","Lô 1.01, Tầng trệt, Orchard Garden, số 128 Hồng Hà, Phường 9, quận Phú Nhuận, Thành Phố Hồ Chí Minh"
"1553474434-669","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 45 Đường TL 27","45 Đường Thạnh Lộc 27, Khu Phố 3B, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh"
"1553474434-317","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ L12-Khu Nhà Ở Thới An","L12 Khu nhà ở Thới An, Khu phố 1, Phường Thới An, Quận 12, thành phố Hồ Chí Minh"
"1553474434-538","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 329 Trương Công Định","329 Trương Công ĐỊnh, Phường 3, Thành Phố Vũng Tàu, Tỉnh Bà Rịa Vũng Tàu"
"1553474434-40","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI Ngõ 2 Hoàng Liệt","ô 2, Khu Hoàng Liệt, ngõ 2 Hoàng Liệt, phường Hoàng Liệt, quận Hoàng Mai, Hà Nội"
"1553474434-726","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ B2 Hoàng Anh Gold House","187A Lê Văn Lương, ấp 3, xã Phước Kiển, huyện Nhà Bè, TP.HCM"
"1553474434-241","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Lô 2.0.03 The Tresor","TS2.0.03 , Tầng 1, Khối Tháp TS2, the Tresor, 39-39B Bến Vân Đồn, Phường 12, Quận 4, Thành Phố Hồ Chí Minh"
